Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Issue split),Outward issue link (Issue split),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
Project Description,SCRUM-35,10034,Epic,To Do,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,,,,lilian ikirezi,62d6e66ad1bb05497b02006d,lilian ikirezi,62d6e66ad1bb05497b02006d,30/Jan/25 10:26 AM,30/Jan/25 10:26 AM,30/Jan/25 5:02 PM,,,0,"Project Description: Blessed Church Website
Project Key: BCW
Project Lead: Melisa Battal
Project Type: Software Development
Project Goal: Build a modern, user-friendly church website with features such as event management, donations, Bible listening, and location information.
Project Overview
The Blessed Church Website is a React-based web application designed to provide a seamless online experience for church members and visitors. The platform will feature an interactive events calendar, an integrated donation system, a Bible listening section, and a contact page with location details. The project aims to enhance community engagement and provide easy access to essential church services online.
Scope & Features
Home Page: A visually appealing homepage with a welcoming message and key highlights.
Navigation Bar: A responsive navbar providing easy access to all sections of the site.
Events Page: A calendar view of upcoming church events with detailed information.
Donations Page: A secure and user-friendly donation platform integrated with a free payment gateway.
Bible Listening Page: An embedded audio player for users to listen to Bible readings.
Location & Contact Page: Displays the church's location (with free parking information) and integrates Google Maps.
Technology Stack
Frontend: React.js, JSX, Bootstrap
Backend: None (Static frontend with third-party integrations)
Database: N/A
Deployment: Vercel / Netlify
Version Control: GitHub
Project Management: Jira
Key Objectives
✅ Enhance user engagement with an intuitive UI/UX
✅ Provide seamless donation processing
✅ Make event information easily accessible
✅ Enable users to listen to Bible readings online
✅ Ensure the site is responsive across devices
Project Timeline & Milestones
Phase	Milestone	Target Completion
Project Setup	Repository setup, environment configuration	Week 1
UI Development	Implement core pages and components	Week 2-3
Feature Development	Implement events, donations, and audio player	Week 4-5
Testing & QA	Ensure bug-free and responsive functionality	Week 6
Deployment	Deploy website to production	Week 7
Stakeholders & Team Members
Product Owner: Melisa Battal
Developers: [List of assigned developers]
QA Tester: [Assign if needed]
Risk & Dependencies
Risk: Potential issues with npm dependencies and payment gateway integration.
Mitigation: Regular updates, dependency management, and contingency plans for payment processing.
Success Criteria
✅ Website loads successfully with no major bugs
✅ All features are functional and accessible
✅ The donation system processes payments without errors
✅ The site is fully responsive across all devices",,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i0006v:,,,,,,,,,,,,,,,,,To Do,30/Jan/25 10:26 AM
unit test,SCRUM-34,10033,Task,In Progress,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,30/Jan/25 9:07 AM,30/Jan/25 9:07 AM,,,,0,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006n:,,,SCRUM Sprint 1,,,,,,,,,,,,,,In Progress,30/Jan/25 9:07 AM
npm start fails ,SCRUM-33,10032,Bug,To Do,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,29/Jan/25 9:29 PM,29/Jan/25 9:29 PM,,,,0,{{npm start}} fails to run the React project successfully. The error occurs during the initialization of the development server.,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0006f:,,,,,,,,,,,,,,,,,To Do,29/Jan/25 9:29 PM
Create the Location and Contact Page.,SCRUM-32,10031,Story,To Do,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,,Takudzwa Ashton Muzenda,712020:91a30013-32de-47e4-9f18-981108d3de64,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,29/Jan/25 9:27 PM,29/Jan/25 9:27 PM,,,,0,"* *Description*: Design a page displaying the church’s location (with free parking information) and contact details. Integrate Google Maps for location visualization.
* *How to Measure*: The location is accurately displayed on the map, and contact details are easily accessible.
* *Acceptance Criteria*:
*# Google Maps is integrated and displays the correct location.
*# Contact details include a form and direct contact links (email, phone).
*# The design is responsive and clean.",,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00067:,,,,,,,,,,,,,,,,,To Do,29/Jan/25 9:27 PM
Develop a Bible Listening Page with an embedded player.,SCRUM-31,10030,Story,To Do,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,,Takudzwa Ashton Muzenda,712020:91a30013-32de-47e4-9f18-981108d3de64,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,29/Jan/25 9:26 PM,29/Jan/25 9:26 PM,,,,0,"* *Description*: Create a page where users can listen to audio versions of the Bible. The page should feature a simple, intuitive audio player.
* *How to Measure*: Users can play, pause, and navigate through the audio files seamlessly.
* *Acceptance Criteria*:
*# The audio player is embedded and functional.
*# Users can navigate between different Bible chapters.
*# The page is visually appealing and user-friendly.",,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005z:,,,,,,,,,,,,,,,,,To Do,29/Jan/25 9:26 PM
Implement the Donations Page with a payment gateway.,SCRUM-30,10029,Story,To Do,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,,lilian ikirezi,62d6e66ad1bb05497b02006d,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,29/Jan/25 9:25 PM,29/Jan/25 9:25 PM,,,,0,"* *Description*: Create a Donations Page where users can donate using a free payment gateway. Include options for one-time and recurring donations.
* *How to Measure*: Donations can be made successfully, and confirmation messages are displayed.
* *Acceptance Criteria*:
*# Payment integration works without errors.
*# Users can select donation frequency.
*# The design aligns with the project’s theme.",,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005r:,,,,,,,,,,,,,,,,,To Do,29/Jan/25 9:25 PM
Develop the Events Page with an interactive calendar.,SCRUM-29,10028,Story,Done,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,Done,Emmanuel Makiwa,712020:a944f74e-7893-449e-ad13-ab98c3995429,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,29/Jan/25 9:25 PM,30/Jan/25 12:42 AM,,30/Jan/25 12:42 AM,,0,"* *Description*: Create an Events Page displaying a calendar of upcoming church activities and events. Users should be able to click on an event to view details.
* *How to Measure*: The calendar is functional, and event details can be accessed with a click.
* *Acceptance Criteria*:
*# The calendar displays all scheduled events.
*# Event details open in a modal or dedicated section.
*# The page is fully responsive.",,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005j:,,,,,,,,,,,,,,10000_*:*_1_*:*_11843189_*|*_10002_*:*_1_*:*_0,,,Done,30/Jan/25 12:42 AM
Develop a responsive Navbar component.,SCRUM-28,10027,Story,To Do,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,,doreete_aehit,712020:7b603f3f-f23b-405c-8e0f-def43d5ec06e,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,29/Jan/25 9:24 PM,29/Jan/25 9:24 PM,,,,0,"* *Description*: Create a reusable Navbar component with links to all major pages (Home, About, Events, Donations, and Contact). Implement responsiveness for mobile and desktop views.
* *How to Measure*: The Navbar is fully functional and adjusts seamlessly to different screen sizes.
* *Acceptance Criteria*:
*# The Navbar contains all required links.
*# The design matches the project’s style guide.
*# The component is responsive and tested on multiple devices.",,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0005b:,,,,,,,,,,,,,,,,,To Do,29/Jan/25 9:24 PM
Set up the React project environment for the church web app.,SCRUM-27,10026,Story,To Do,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,29/Jan/25 9:23 PM,29/Jan/25 9:23 PM,,,,0,"* *Description*: Install all necessary dependencies, configure the project structure, and ensure the development environment is ready for the team.
* *How to Measure*: The project runs successfully with {{npm start}}, and all dependencies are correctly installed.
* *Acceptance Criteria*:
*# The project structure follows best practices.
*# All dependencies are listed and functional.
*# The application starts successfully with no errors.",,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00053:,,,,,,,,,,,,,,,,,To Do,29/Jan/25 9:23 PM
start with front-end using tailwind ui,SCRUM-26,10025,Task,Done,SCRUM,BlessedApp,software,lilian ikirezi,62d6e66ad1bb05497b02006d,,Medium,Done,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,15/Dec/24 8:54 PM,29/Jan/25 9:29 PM,,29/Jan/25 9:29 PM,,0,,,Melisa Battal,712020:34a52685-f695-4bee-a747-7abd986da6fd,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0004v:,,,SCRUM Sprint 1,,,,,,,,,,,10000_*:*_1_*:*_3890110914_*|*_10002_*:*_1_*:*_0,,,Done,29/Jan/25 9:29 PM
